SMILES,pIC50,FP
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.75,[0 0 0 ... 0 0 0]
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,6.59,[0 0 0 ... 0 0 0]
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,7.65,[0 0 0 ... 0 0 0]
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,8.21,[0 0 0 ... 0 0 0]
C#CCN1CCN(c2ccc(Nc3ncc4c(C)cc(=O)n(-c5cccc(NC(=O)C=C)c5)c4n3)c(OC)c2)CC1,8.1,[0 0 0 ... 0 0 0]
C#CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,6.529999999999999,[0 0 0 ... 0 0 0]
C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,7.415000000000001,[0 0 0 ... 0 0 0]
C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,8.87,[0 0 0 ... 0 0 0]
C#CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.83,[0 0 0 ... 0 0 0]
C#CCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.59,[0 0 0 ... 0 0 0]
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,7.985,[0 0 0 ... 0 0 0]
C#CCOc1cccc(Nc2ncc(C)c(Nc3cccc(NC(=O)C=C)c3)n2)c1,7.26,[0 0 0 ... 0 0 0]
C#CCOc1cccc(Nc2ncc(F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,5.62,[0 0 0 ... 0 0 0]
